PRODUCT,MODEL,ROC_AUC,CHURN_PRECISION,CHURN_RECALL,CHURN_F1,ACCURACY
Daily Fitness,Probit,0.8380853114871688,0.7080254041570438,0.7849827166816029,0.7445206726974682,0.7766395074179251
Daily Fitness,Logistic Regression,0.8377609429513888,0.6638349514563107,0.8520249221183801,0.7462482946793997,0.7597600785583482
Daily Fitness,Random Forest,0.8532770432185834,0.7065944863642263,0.8132334741603722,0.756172808888448,0.7825579235117704
Daily Fitness,Gradient Boosting,0.8532514215990668,0.7181740081224617,0.7848333546707634,0.7500254888766542,0.7830975698222706
Healthy Meals,Probit,0.8301508527974539,0.6903047301394785,0.7875210792580101,0.7357152955908788,0.7715029118753874
Healthy Meals,Logistic Regression,0.829928629157917,0.6403456734700421,0.8634712673498508,0.735355581127733,0.7490024534842095
Healthy Meals,Random Forest,0.8473975679974537,0.6863196016296967,0.8194318329225581,0.7469919884902295,0.7758248858387685
Healthy Meals,Gradient Boosting,0.8473565847666948,0.7039973506837574,0.7813162104899036,0.7406443415173997,0.7790117959329789
Mindful Living,Probit,0.8014621505940981,0.6861813510707562,0.7760044576227338,0.7283339559208069,0.7390165346348115
Mindful Living,Logistic Regression,0.799887722653387,0.6661293668906302,0.8306103361127142,0.7393322114958817,0.7359482518862762
Mindful Living,Random Forest,0.8317209720839234,0.7010516970566141,0.8171379674036338,0.7546566442755668,0.7604675991136072
Mindful Living,Gradient Boosting,0.8301706850287631,0.7079423533161007,0.7957254581998369,0.7492715467568606,0.7599113607205978
Premium Health,Probit,0.8554641745749008,0.7862902604110455,0.8566629151198535,0.819969450920492,0.7878009722077455
Premium Health,Logistic Regression,0.8496338816133018,0.7882642395394461,0.8234197308965077,0.8054585637174758,0.7756246861171388
Premium Health,Random Forest,0.8776772178598534,0.8239760737725347,0.8330281701970402,0.828477396505062,0.8054257909848105
Premium Health,Gradient Boosting,0.8758226414753076,0.814498039278971,0.8478271824763569,0.8308284910039672,0.8052362768044119
Wellness Tracker,Probit,0.8094581558902627,0.695721425825232,0.7815437138802624,0.7361396303901437,0.7459242678604738
Wellness Tracker,Logistic Regression,0.8074484080631218,0.6731942481921702,0.8328568784320177,0.7445623195866812,0.7408505875769446
Wellness Tracker,Random Forest,0.8364756599367885,0.7078242879309422,0.816218661950106,0.7581668131280327,0.763868681216191
Wellness Tracker,Gradient Boosting,0.8349651610236961,0.7114740368509213,0.8036731587931637,0.7547683660559938,0.7631691848535721
